date,article_count,cases_count,death_count,injections_count,vaccine_dict_hits,virus_dict_hits,death_dict_hits,total_words,feel_positive,feel_negative,feel_joy,feel_fear,feel_sadness,feel_anger,feel_surprise,feel_disgust
02/01/2020,1,0,0,0,0.0000,0.0000,0.0000,421,0.185273159145,0.040380047506,0.011876484561,0.035629453682,0.045130641330,0.019002375297,0.011876484561,0.004750593824
10/01/2020,1,0,0,0,0.0000,0.0000,0.0028,723,0.138312586432,0.027662517289,0.009681881051,0.041493775934,0.033195020747,0.009681881051,0.012448132780,0.004149377593
26/01/2020,1,0,0,0,0.0000,0.0234,0.0063,1110,0.090090090081,0.037837837838,0.002702702703,0.035135135135,0.024324324324,0.011711711712,0.011711711712,0.016216216216
28/01/2020,1,0,0,0,0.0000,0.0000,0.0000,693,0.144300144286,0.037518037518,0.008658008658,0.037518037518,0.030303030303,0.014430014430,0.011544011544,0.007215007215
29/01/2020,10,0,0,0,0.0001,0.0191,0.0020,7158,0.139564124044,0.039256775636,0.007683710534,0.029756915339,0.026823134954,0.015926236379,0.023889354568,0.012573344510
31/01/2020,1,0,0,0,0.0015,0.0213,0.0015,656,0.140243902439,0.064024390244,0.009146341463,0.047256097561,0.036585365854,0.028963414634,0.022865853659,0.016768292683
01/02/2020,2,0,0,0,0.0127,0.0675,0.0000,474,0.130801687764,0.042194092827,0.012658227848,0.012658227848,0.012658227848,0.008438818565,0.004219409283,0.016877637131
02/02/2020,3,0,0,0,0.0000,0.0128,0.0036,1645,0.160486322188,0.084498480243,0.007294832827,0.056534954407,0.022492401216,0.017021276596,0.010942249240,0.041337386018
03/02/2020,2,0,0,0,0.0020,0.0301,0.0040,498,0.144578313253,0.050200803213,0.006024096386,0.038152610442,0.028112449799,0.022088353414,0.020080321285,0.012048192771
04/02/2020,1,0,0,0,0.0000,0.0500,0.0100,200,0.205000000000,0.015000000000,0.030000000000,0.020000000000,0.020000000000,0.005000000000,0.020000000000,0.005000000000
05/02/2020,5,0,0,0,0.0014,0.0224,0.0064,2191,0.145595618435,0.050661798266,0.007759014149,0.036513007759,0.027841168416,0.017343678686,0.015518028298,0.012779552716
06/02/2020,3,0,0,0,0.0000,0.0328,0.0034,883,0.178935447339,0.055492638732,0E-12,0.045300113250,0.023782559456,0.023782559456,0.019252548131,0.009060022650
07/02/2020,2,0,0,0,0.0000,0.0221,0.0023,1312,0.152439024375,0.039634146341,0.006859756098,0.019054878049,0.033536585366,0.012195121951,0.022103658537,0.009146341463
08/02/2020,1,0,0,0,0.0000,0.0224,0.0050,402,0.181592039801,0.052238805970,0.004975124378,0.029850746269,0.042288557214,0.017412935323,0.034825870647,0.012437810945
09/02/2020,3,0,0,0,0.0003,0.0065,0.0014,3513,0.062339880441,0.039851978366,0.005693139767,0.030742954740,0.031312268716,0.012240250498,0.015371477370,0.009962994592
10/02/2020,3,0,0,0,0.0000,0.0053,0.0028,10093,0.017437828197,0.013078371147,0.008025364114,0.011493114038,0.010502328345,0.011096799761,0.011096799761,0.010502328345
11/02/2020,26,0,0,0,0.0005,0.0323,0.0063,17054,0.113756303499,0.040752902545,0.005453266096,0.030667292131,0.023044447051,0.014952503811,0.015011141081,0.008678315938
12/02/2020,107,0,0,0,0.0007,0.0220,0.0051,69590,0.115878718201,0.038496910475,0.006394596925,0.029257077166,0.023164247737,0.016295444748,0.014283661445,0.009843368300
13/02/2020,145,0,0,0,0.0006,0.0235,0.0051,80847,0.134352542449,0.041003376749,0.005108414660,0.030885499771,0.027595334397,0.015733422390,0.014533625243,0.008843865573
14/02/2020,134,0,0,0,0.0005,0.0192,0.0061,92373,0.111915819551,0.039459582345,0.006268065344,0.030376841718,0.026501250365,0.020092451257,0.016238511253,0.009808060797
15/02/2020,65,0,0,0,0.0013,0.0279,0.0078,47568,0.105112680788,0.033320719811,0.005465859401,0.028044063236,0.022115708039,0.016754961318,0.013958964009,0.010195930037
16/02/2020,62,0,0,0,0.0005,0.0262,0.0086,45092,0.106249445573,0.033753215648,0.004812383571,0.028186818061,0.022886543067,0.015945178745,0.013106537745,0.011598509713
17/02/2020,87,0,0,0,0.0008,0.0247,0.0061,57097,0.112615373831,0.039161427045,0.004431055922,0.029931520045,0.026025885773,0.015482424646,0.016918577158,0.008634429129
18/02/2020,115,0,0,0,0.0034,0.0226,0.0053,68791,0.134639705767,0.048451105522,0.005233242721,0.033158407350,0.030527249204,0.017560436685,0.016106758152,0.009739646175
19/02/2020,88,0,0,0,0.0033,0.0269,0.0068,46739,0.142129698960,0.045272684482,0.005455829179,0.034382421532,0.029568454610,0.017137722245,0.014741436488,0.008622349644
20/02/2020,93,0,0,0,0.0010,0.0271,0.0055,53481,0.132420859738,0.042875039734,0.006675267852,0.029917166844,0.027168527140,0.015594323218,0.018118584170,0.009405209327
21/02/2020,107,0,0,0,0.0008,0.0215,0.0057,68384,0.117995437522,0.036119560131,0.005001169864,0.027974379972,0.023192559663,0.015632311652,0.015252105756,0.008700865699
22/02/2020,57,0,0,0,0.0004,0.0271,0.0097,48002,0.093912753629,0.032436148493,0.004353985251,0.025248947960,0.020936627640,0.014311903670,0.013645264780,0.009020457481
23/02/2020,98,0,0,0,0.0002,0.0216,0.0078,78964,0.092105263153,0.028012765310,0.005559495466,0.024327541664,0.019667190112,0.012879286763,0.014436958614,0.008016311230
24/02/2020,152,0,0,0,0.0004,0.0261,0.0064,95526,0.129011996727,0.044218327994,0.004888721395,0.034231518121,0.027667860059,0.016759835019,0.018539455227,0.009316835207
25/02/2020,198,0,0,0,0.0012,0.0256,0.0056,133816,0.111825192797,0.038410952352,0.005141388175,0.030639086507,0.025124050935,0.014706761523,0.016291026484,0.009386022598
26/02/2020,253,0,0,0,0.0004,0.0236,0.0061,166772,0.114239800440,0.039311155350,0.006182092917,0.031893843091,0.025447916916,0.015692082604,0.016063847648,0.009024296644
27/02/2020,302,0,0,0,0.0004,0.0208,0.0062,214148,0.113655042300,0.043171077946,0.006262024394,0.034065225918,0.027205484058,0.017137680483,0.017371163868,0.010086482246
28/02/2020,281,0,0,0,0.0005,0.0239,0.0051,163755,0.123733626447,0.045274953436,0.005673109218,0.034972977924,0.029232695185,0.017617782663,0.018057463894,0.010759976795
29/02/2020,207,0,0,0,0.0003,0.0215,0.0061,133006,0.103732162454,0.038035878080,0.006360615311,0.031547448987,0.023983880426,0.015578244590,0.016886456250,0.009864216652
01/03/2020,118,0,0,0,0.0004,0.0235,0.0065,66371,0.129921200517,0.046857814407,0.006780069609,0.038586129484,0.030224043634,0.018893793976,0.018065118802,0.009175694204
02/03/2020,285,191,3,0,0.0005,0.0197,0.0053,200615,0.114014405695,0.043067567231,0.006230840166,0.033950601899,0.028273060339,0.017934850335,0.017506168532,0.009789896069
03/03/2020,329,21,1,0,0.0004,0.0206,0.0043,208634,0.121394403591,0.042461918958,0.006926004390,0.033278372652,0.027080916821,0.016962719403,0.017303028270,0.010520816358
04/03/2020,330,73,0,0,0.0008,0.0224,0.0042,203248,0.117521451620,0.043434621743,0.006155042116,0.031744469810,0.025830512477,0.017249862237,0.017358104385,0.011084979926
05/03/2020,389,138,3,0,0.0007,0.0206,0.0049,246144,0.119584470872,0.045826833073,0.006581513261,0.034760140405,0.029108976859,0.018387610504,0.018676059542,0.009912896516
06/03/2020,354,190,2,0,0.0007,0.0214,0.0046,235822,0.114073326486,0.042727141657,0.005232760302,0.032893453537,0.026511521402,0.017623461763,0.017508968629,0.010100838768
07/03/2020,262,336,7,0,0.0006,0.0232,0.0049,134576,0.131234395430,0.044792533587,0.006487040780,0.035452086553,0.027790987992,0.017365652122,0.018547140649,0.009667399833
08/03/2020,162,177,3,0,0.0004,0.0211,0.0053,117437,0.102821087046,0.035389187394,0.005807369057,0.027768079906,0.023825540502,0.015412519053,0.016340676277,0.009792484481
09/03/2020,354,286,6,0,0.0004,0.0202,0.0044,222132,0.120518430477,0.043649721787,0.005586768228,0.034659571786,0.028757675616,0.018889669206,0.019123764248,0.009701438784
10/03/2020,418,372,8,0,0.0003,0.0185,0.0038,277170,0.114622794669,0.042515423747,0.005971064690,0.033189017570,0.028033336941,0.018887325468,0.018595086048,0.010087671826
11/03/2020,484,497,15,0,0.0005,0.0192,0.0040,290631,0.123224982876,0.045704002670,0.005921598178,0.034163595762,0.029260471182,0.019526478593,0.018920899697,0.010401505689
12/03/2020,652,595,13,0,0.0005,0.0185,0.0036,388979,0.123680198668,0.045174675239,0.005810082292,0.034690818784,0.028615940706,0.019330092370,0.019597458989,0.009237002512
13/03/2020,761,785,18,0,0.0002,0.0178,0.0033,431152,0.126282610303,0.044007681745,0.006663543252,0.033577485434,0.028344992021,0.018656993357,0.020071807622,0.009258915649
14/03/2020,752,839,12,0,0.0003,0.0149,0.0030,397295,0.126316716792,0.040252205540,0.008175285367,0.030516366931,0.026791175323,0.017722347374,0.020445764482,0.009504272644
15/03/2020,567,923,36,0,0.0006,0.0155,0.0033,320532,0.120246964416,0.039999126452,0.006560967392,0.030050041805,0.026303146020,0.019632985162,0.020222629878,0.011125254265
16/03/2020,885,1210,21,0,0.0006,0.0157,0.0029,491767,0.127546175317,0.044031014688,0.006515280611,0.033221017270,0.028745320446,0.021105523551,0.021611860902,0.010862867984
17/03/2020,1123,1097,27,0,0.0008,0.0166,0.0031,621709,0.129427111392,0.044133187713,0.006509476298,0.033684569469,0.027953592436,0.020717087898,0.019890334546,0.010133358211
18/03/2020,1298,1404,89,0,0.0008,0.0178,0.0035,685610,0.133212759434,0.045422324645,0.006445355231,0.034179781508,0.028112192062,0.019435247444,0.018825571389,0.010125289888
19/03/2020,1290,1861,108,0,0.0006,0.0169,0.0036,735075,0.126377580513,0.045015814712,0.006452402816,0.034831819882,0.028544026120,0.019629289528,0.019961228446,0.010390776451
20/03/2020,1219,1617,78,0,0.0005,0.0182,0.0041,669367,0.131428648254,0.044836390201,0.006516604493,0.034166608153,0.027676894738,0.019727593383,0.018744575099,0.010109551263
21/03/2020,865,1847,112,0,0.0005,0.0199,0.0047,457612,0.129666617129,0.044024195169,0.006343802173,0.034424359501,0.027442462173,0.019575535607,0.018528797322,0.010500161709
22/03/2020,646,2230,112,0,0.0004,0.0200,0.0053,367267,0.119550626650,0.041710798955,0.006319653004,0.032918830170,0.026928637748,0.019860210691,0.018041370447,0.010918487095
23/03/2020,1250,3167,186,0,0.0005,0.0179,0.0046,715682,0.125041568735,0.043276203677,0.006254174340,0.033384939121,0.027037147783,0.019286498752,0.018713618618,0.010188882772
24/03/2020,1329,2446,240,0,0.0007,0.0178,0.0048,768371,0.125751752727,0.041931566912,0.006051764057,0.031571988011,0.026342743284,0.017904111425,0.018439009281,0.009395201016
25/03/2020,1455,2931,231,0,0.0005,0.0180,0.0048,812706,0.127102543841,0.043921171986,0.006109220308,0.033757594997,0.028043351470,0.019801748726,0.018811230629,0.010164807446
26/03/2020,1509,3922,365,0,0.0007,0.0167,0.0046,922572,0.122280971018,0.043196628555,0.005917153350,0.033342655099,0.027166443378,0.019582211470,0.018947030692,0.009654531028
27/03/2020,1457,3809,299,0,0.0006,0.0168,0.0048,837678,0.129944919163,0.044592313514,0.006195698108,0.034484611032,0.027840053099,0.019709243886,0.018813911789,0.009921473406
28/03/2020,910,4611,319,0,0.0003,0.0187,0.0062,502711,0.127389295236,0.043269393349,0.006126780596,0.033530199259,0.026303383057,0.018392277074,0.018314697709,0.009647690224
29/03/2020,770,2599,292,0,0.0005,0.0192,0.0064,447710,0.123950771699,0.044305465591,0.006464005718,0.034464273748,0.027973464966,0.020267583927,0.018016126510,0.010564874584
30/03/2020,1301,4376,418,0,0.0006,0.0179,0.0046,787497,0.122423323511,0.043101116575,0.006096531161,0.033173459708,0.026944864552,0.019366422983,0.018233720255,0.009866704254
31/03/2020,1332,7578,499,0,0.0005,0.0169,0.0043,795950,0.125193793574,0.044054274766,0.006524279163,0.033830014448,0.028020604309,0.019537659401,0.018824046737,0.010187825868
01/04/2020,1502,4861,509,0,0.0007,0.0172,0.0048,842342,0.128077431726,0.044384584883,0.006197007866,0.033301200700,0.027779690434,0.019094382092,0.018709740224,0.009721704486
02/04/2020,1506,2116,471,0,0.0005,0.0172,0.0050,917712,0.122887136699,0.043172585735,0.006067262932,0.033175985494,0.027826812769,0.019582396220,0.018495998745,0.010173126209
03/04/2020,1371,5233,588,0,0.0005,0.0176,0.0048,815680,0.127038789715,0.043957189094,0.006528295410,0.033687230286,0.027350186348,0.019665800314,0.018526873284,0.010203756375
04/04/2020,1752,4267,441,0,0.0006,0.0184,0.0066,915334,0.132062176205,0.043752335213,0.006723228898,0.033292765264,0.027069900168,0.018679520263,0.018133271571,0.009911136263
05/04/2020,687,1873,357,0,0.0007,0.0182,0.0066,385523,0.123569799980,0.042811972307,0.007039787509,0.032369015597,0.027007467777,0.019319210527,0.017928891402,0.010531148595
06/04/2020,1169,3912,605,0,0.0006,0.0175,0.0051,711224,0.120153425638,0.042993487283,0.006224480614,0.033007884998,0.027254423360,0.019272409255,0.018572207912,0.010003880634
07/04/2020,1307,3777,597,0,0.0007,0.0190,0.0055,772715,0.125061633326,0.044070582297,0.006154921284,0.033911597419,0.027685498534,0.019087244327,0.018315937959,0.010091689692
08/04/2020,1336,3881,541,0,0.0005,0.0180,0.0047,787189,0.125560697616,0.042210955691,0.006361877516,0.032175246351,0.026824561827,0.018964949967,0.018169715278,0.009409430264
09/04/2020,1434,4286,412,0,0.0007,0.0161,0.0042,936554,0.112731353445,0.041864110345,0.006028483141,0.031808096490,0.026571879464,0.019412655330,0.018184749625,0.010214039981
10/04/2020,1225,4342,554,0,0.0007,0.0172,0.0055,725938,0.125463882584,0.043100099457,0.006178213566,0.033544186969,0.027467910483,0.019610490152,0.018573211486,0.009779072042
11/04/2020,771,3114,345,0,0.0007,0.0177,0.0060,470139,0.118771257005,0.041285662325,0.006400234824,0.031733168276,0.026566611151,0.018656184660,0.017881945552,0.010092759801
12/04/2020,592,1613,310,0,0.0004,0.0186,0.0069,318750,0.126892549014,0.041665882353,0.006886274510,0.032263529412,0.026974117647,0.018221176470,0.017047843137,0.010462745098
13/04/2020,670,2673,335,0,0.0005,0.0183,0.0061,423759,0.117073619669,0.041058714977,0.006671244741,0.031562751469,0.026038385025,0.018548278621,0.017479274776,0.010515410882
14/04/2020,1019,5497,541,0,0.0014,0.0170,0.0045,627544,0.123173833223,0.042057608709,0.006697538340,0.031331667580,0.026885764185,0.018282383387,0.017968461176,0.009361893349
15/04/2020,1284,2633,514,0,0.0010,0.0187,0.0039,726239,0.129355487650,0.043610987567,0.006614902257,0.032832166821,0.028308862509,0.019059841182,0.018495288741,0.009609784107
16/04/2020,1641,2641,417,0,0.0010,0.0164,0.0042,996687,0.119096566920,0.042072385814,0.006403213847,0.031670925777,0.027203123950,0.019367163412,0.018622696995,0.010058323225
17/04/2020,1599,405,418,0,0.0007,0.0161,0.0040,930510,0.125133528919,0.042636833564,0.006443778143,0.031812661873,0.027190465444,0.019361425455,0.018407110079,0.009764537727
18/04/2020,1036,2569,364,0,0.0008,0.0169,0.0048,574127,0.125083822912,0.041607518894,0.006857367795,0.031250925318,0.026433175935,0.018539452072,0.018279927612,0.009834061105
19/04/2020,759,785,227,0,0.0007,0.0176,0.0049,422802,0.121137080709,0.042665361091,0.007190126821,0.032592088022,0.027246796373,0.019429898629,0.018784206319,0.010775729538
20/04/2020,1389,2051,444,0,0.0009,0.0156,0.0036,841681,0.121396348492,0.041377909208,0.007071562742,0.030964225164,0.026957956755,0.018831362476,0.018369192129,0.010142797568
21/04/2020,1493,2667,387,0,0.0006,0.0143,0.0034,868353,0.125550323422,0.042898452588,0.006870477790,0.031307544282,0.027476153131,0.018927786280,0.018635278510,0.009695365825
22/04/2020,1591,1827,336,0,0.0010,0.0157,0.0035,876258,0.126570028456,0.042210170977,0.006903218002,0.030669049526,0.026884775945,0.018796975320,0.018556178660,0.009759682651
23/04/2020,1662,1653,311,0,0.0010,0.0150,0.0036,995814,0.120739415186,0.042759993332,0.006876786227,0.031466719688,0.027629657747,0.019386150426,0.018831830041,0.009940611399
24/04/2020,1460,1773,305,0,0.0011,0.0150,0.0034,845155,0.124717951139,0.041562790257,0.006962036550,0.030925688187,0.025923055534,0.018673497761,0.018751589945,0.009670415486
25/04/2020,967,1537,198,0,0.0013,0.0175,0.0047,526301,0.125950739210,0.040873948558,0.007569812712,0.029944841450,0.025230808986,0.018219611971,0.017486191362,0.010503495148
26/04/2020,723,461,152,0,0.0011,0.0172,0.0049,396802,0.123724174772,0.041869748640,0.007610848736,0.030468596428,0.025456020887,0.018308879491,0.017683882642,0.010594704664
27/04/2020,1336,3764,295,0,0.0008,0.0152,0.0036,791568,0.123375376462,0.040931417136,0.007083409132,0.030722565844,0.025975026782,0.018713490187,0.018367341782,0.009803327067
28/04/2020,1348,1520,313,0,0.0011,0.0153,0.0033,826663,0.118083185040,0.039555417383,0.007094789533,0.029469082322,0.025798904753,0.018400484841,0.018031531591,0.009416170798
29/04/2020,1393,0,243,0,0.0007,0.0146,0.0034,834302,0.118832269364,0.040771806851,0.007293522010,0.030319956083,0.026985432134,0.018524467159,0.018297930486,0.009277216164
30/04/2020,1545,1139,191,0,0.0008,0.0141,0.0031,919913,0.123510592843,0.042240951046,0.007350695120,0.031657341509,0.027174308875,0.019412705332,0.019002883968,0.009472634912
01/05/2020,345,604,125,0,0.0007,0.0145,0.0036,300465,0.095255687012,0.039312399114,0.007358594179,0.029777178706,0.026505583013,0.020405038856,0.017745827301,0.010244121611
02/05/2020,856,794,118,0,0.0007,0.0164,0.0044,431299,0.133795812181,0.042988738671,0.007783463444,0.032188806373,0.027071706635,0.019253464534,0.018898722232,0.010085810540
03/05/2020,695,308,96,0,0.0006,0.0174,0.0052,379556,0.125762733293,0.042225653131,0.007456080262,0.032092761015,0.026209571183,0.019109169661,0.018937916934,0.010006428564
04/05/2020,1203,576,243,0,0.0009,0.0157,0.0035,745557,0.120056548319,0.040210205256,0.007288510469,0.030447034901,0.025627819201,0.018658533150,0.018366134313,0.009372858145
05/05/2020,1270,1104,234,0,0.0010,0.0145,0.0034,748421,0.124687842799,0.041017021168,0.007324754383,0.030545642092,0.026018778201,0.018806260113,0.018346625763,0.009556118815
06/05/2020,1380,4183,177,0,0.0010,0.0148,0.0032,804514,0.124881605534,0.041806606224,0.006950780223,0.031285968920,0.026491770187,0.018813842891,0.018740506691,0.009487715565
07/05/2020,1472,629,149,0,0.0006,0.0147,0.0032,929986,0.118281350466,0.042012460402,0.007111935018,0.031492947205,0.026970298477,0.019195987897,0.018563720314,0.009968967275
08/05/2020,891,642,111,0,0.0007,0.0152,0.0037,530022,0.119632769955,0.041173762598,0.007405352985,0.030272328318,0.025963073231,0.018993551211,0.017653984174,0.010125994770
09/05/2020,752,433,76,0,0.0004,0.0157,0.0041,422316,0.124342909096,0.041154017370,0.008420235085,0.031189914661,0.026634084429,0.018467214124,0.018263575143,0.010118015893
10/05/2020,580,209,69,0,0.0004,0.0174,0.0050,345899,0.116054108275,0.039332290639,0.008248072414,0.029716767033,0.024969716593,0.018279902515,0.017444398509,0.009971118737
11/05/2020,1107,456,178,0,0.0005,0.0164,0.0036,630298,0.125305807723,0.042005527544,0.007190249691,0.031096402019,0.026587423726,0.019106835179,0.018592792616,0.009674788751
12/05/2020,1091,708,183,0,0.0005,0.0157,0.0033,655388,0.123117908775,0.040940633640,0.007256770035,0.030308763663,0.026555261921,0.018918564270,0.018183122059,0.009913211716
13/05/2020,1232,507,98,0,0.0010,0.0146,0.0033,728806,0.121620842852,0.041902783456,0.007453286609,0.031724491840,0.026532437987,0.019298688540,0.018651053916,0.009628076607
14/05/2020,1341,622,123,0,0.0016,0.0139,0.0029,876218,0.115516914734,0.042278291475,0.006994834619,0.031671342063,0.026354172135,0.019481453246,0.019274883648,0.009890232796
15/05/2020,1195,563,118,0,0.0018,0.0140,0.0040,708560,0.121353166980,0.040730495653,0.007767867224,0.030190809529,0.025965338150,0.018749294343,0.018393643446,0.009704188777
16/05/2020,692,372,70,0,0.0006,0.0155,0.0049,390144,0.123313443235,0.039400836614,0.007986794619,0.029750553642,0.025311167159,0.018718729495,0.018631582185,0.009924540682
17/05/2020,552,120,54,0,0.0005,0.0159,0.0048,314377,0.121001218278,0.040518231295,0.007805914555,0.030177144002,0.025348546490,0.019708820938,0.018016585183,0.010942276311
18/05/2020,1176,492,123,0,0.0013,0.0142,0.0029,696682,0.123133653511,0.040114428103,0.007455338304,0.030096945235,0.025466425141,0.019502441573,0.019169434548,0.009773469101
19/05/2020,1198,524,125,0,0.0012,0.0143,0.0032,674804,0.127597050397,0.041917356743,0.006641928619,0.030939354242,0.027033034777,0.019583464235,0.018712100106,0.010300768816
20/05/2020,1424,418,98,0,0.0010,0.0130,0.0031,759607,0.133787603320,0.043098602303,0.007031267484,0.032075797090,0.027131134916,0.020363161477,0.018976918327,0.010055199597
21/05/2020,878,318,58,0,0.0008,0.0141,0.0040,467775,0.132078456517,0.041616161616,0.007693869916,0.030636523970,0.026549088771,0.019269948159,0.018748329859,0.010530703864
22/05/2020,1013,393,74,0,0.0011,0.0130,0.0038,558098,0.125320284245,0.043472651756,0.006964726625,0.032734394318,0.027312407498,0.021257915276,0.019161509269,0.010951481639
23/05/2020,758,250,43,0,0.0005,0.0141,0.0043,407861,0.131942009649,0.041820620260,0.007669279485,0.031743657766,0.027242124155,0.020529052790,0.020247093985,0.011006200642
24/05/2020,591,115,35,0,0.0010,0.0140,0.0041,350440,0.120385800702,0.042084236959,0.007556215044,0.033255336148,0.026717840429,0.021073507590,0.019130236274,0.011451318343
25/05/2020,937,358,90,0,0.0008,0.0126,0.0031,551835,0.126561381566,0.040716880952,0.007181494468,0.030799061314,0.025270234762,0.019772214521,0.018701242219,0.009865267698
26/05/2020,1047,276,148,0,0.0012,0.0133,0.0031,601800,0.127819873706,0.041781322698,0.007236623463,0.031015287471,0.026166500498,0.020106347624,0.018818544367,0.010013293453
27/05/2020,1136,191,0,0,0.0008,0.0120,0.0027,650619,0.127141998613,0.042268977696,0.006936471268,0.031649859595,0.026373345998,0.020712582940,0.019240139006,0.009873674147
28/05/2020,1231,3325,66,0,0.0006,0.0120,0.0027,735078,0.121882303640,0.041581981776,0.007072718814,0.031115065340,0.025952347914,0.021075314456,0.019060562280,0.010069679680
29/05/2020,974,597,61,0,0.0008,0.0120,0.0030,588311,0.126409331112,0.042055987394,0.007261465449,0.031588734530,0.027390274872,0.019980928454,0.018111169092,0.010035508430
30/05/2020,676,1828,57,0,0.0012,0.0135,0.0043,347232,0.130062897423,0.039849437840,0.007859298682,0.029905077873,0.025118652659,0.018466039996,0.018391162105,0.009486452861
31/05/2020,499,257,31,0,0.0004,0.0133,0.0046,266655,0.124321689069,0.038184170557,0.008134105867,0.029300031876,0.024616076953,0.018248298363,0.018578312801,0.009956685605
01/06/2020,710,338,31,0,0.0004,0.0119,0.0030,409975,0.122873345930,0.042995304591,0.007463869748,0.032719068236,0.027652905665,0.020967132142,0.020089029819,0.010137203488
02/06/2020,877,0,84,0,0.0004,0.0125,0.0037,473581,0.129217599518,0.041101733389,0.007130775939,0.030816270078,0.025497222228,0.019681955146,0.018598719121,0.009977173915
