,ArticleCount,Cases(G),Death(G),Vaccine(G),Vaccine(S),Virus(S),Death(S),Length,Pos,Neg,Joy,Fear,Sadness,Anger,Surprise,Disgust
ArticleCount,1.00,,,,,,,,,,,,,,,
Cases(G),0.04,1.00,,,,,,,,,,,,,,
Death(G),0.50,0.43,1.00,,,,,,,,,,,,,
Vaccine(G),0.08,0.45,0.28,1.00,,,,,,,,,,,,
Vaccine(S),0.07,0.44,0.48,0.58,1.00,,,,,,,,,,,
Virus(S),-0.21,-0.29,-0.15,-0.26,-0.19,1.00,,,,,,,,,,
Death(S),-0.13,-0.28,0.01,-0.22,-0.25,0.63,1.00,,,,,,,,,
Length,0.99,-0.01,0.48,0.03,0.00,-0.17,-0.08,1.00,,,,,,,,
Pos,0.08,-0.01,-0.02,-0.12,0.18,0.12,-0.04,0.02,1.00,,,,,,,
Neg,0.18,-0.07,0.05,-0.19,0.01,0.20,0.10,0.17,0.62,1.00,,,,,,
Joy,-0.05,-0.12,-0.15,-0.16,0.02,0.18,0.03,-0.06,0.50,0.02,1.00,,,,,
Fear,0.14,-0.11,0.02,-0.21,-0.06,0.10,0.21,0.14,0.59,0.88,0.06,1.00,,,,
Sadness,0.18,-0.14,-0.02,-0.29,-0.15,0.06,0.13,0.18,0.64,0.71,0.18,0.76,1.00,,,
Anger,0.35,0.02,0.09,-0.16,0.05,-0.16,-0.10,0.33,0.56,0.72,0.06,0.69,0.64,1.00,,
Surprise,0.24,-0.12,-0.08,-0.30,-0.16,0.01,0.04,0.22,0.61,0.55,0.26,0.51,0.69,0.71,1.00,
Disgust,-0.06,-0.19,-0.10,-0.18,-0.06,0.26,0.16,-0.05,0.23,0.70,0.07,0.56,0.22,0.31,0.19,1.00
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,N,T INV,ALPHA,R critical value,,,,,,,,,,,,
* P < 0.05,428,1.965548282,0.05,0.094802217,-0.094802217,,,,,,,,,,,
** P < 0.01,428,2.587419335,0.01,0.124387292,-0.124387292,,,,,,,,,,,
