date,article_count,death_count,deaths_cumulated,dict_hits,average_hits_per_article,average_hits_per_words
02/01/2020,1,0,0,0,0.0000,0.0000
10/01/2020,1,0,0,2,2.0000,0.0028
26/01/2020,1,0,0,7,7.0000,0.0063
28/01/2020,1,0,0,0,0.0000,0.0000
29/01/2020,10,0,0,14,1.4000,0.0020
31/01/2020,1,0,0,1,1.0000,0.0015
01/02/2020,2,0,0,0,0.0000,0.0000
02/02/2020,3,0,0,6,2.0000,0.0036
03/02/2020,2,0,0,2,1.0000,0.0040
04/02/2020,1,0,0,2,2.0000,0.0100
05/02/2020,5,0,0,14,2.8000,0.0064
06/02/2020,3,0,0,3,1.0000,0.0034
07/02/2020,2,0,0,3,1.5000,0.0023
08/02/2020,1,0,0,2,2.0000,0.0050
09/02/2020,3,0,0,5,1.6667,0.0014
10/02/2020,3,0,0,28,9.3333,0.0028
11/02/2020,26,0,0,107,4.1154,0.0063
12/02/2020,107,0,0,353,3.2991,0.0051
13/02/2020,145,0,0,415,2.8621,0.0051
14/02/2020,134,0,0,561,4.1866,0.0061
15/02/2020,65,0,0,369,5.6769,0.0078
16/02/2020,62,0,0,389,6.2742,0.0086
17/02/2020,87,0,0,350,4.0230,0.0061
18/02/2020,115,0,0,362,3.1478,0.0053
19/02/2020,88,0,0,317,3.6023,0.0068
20/02/2020,93,0,0,294,3.1613,0.0055
21/02/2020,107,0,0,393,3.6729,0.0057
22/02/2020,57,0,0,466,8.1754,0.0097
23/02/2020,98,0,0,615,6.2755,0.0078
24/02/2020,152,0,0,608,4.0000,0.0064
25/02/2020,198,0,0,749,3.7828,0.0056
26/02/2020,253,0,0,1025,4.0514,0.0061
27/02/2020,302,0,0,1325,4.3874,0.0062
28/02/2020,281,0,0,843,3.0000,0.0051
29/02/2020,207,0,0,805,3.8889,0.0061
01/03/2020,118,0,0,433,3.6695,0.0065
02/03/2020,285,3,3,1055,3.7018,0.0053
03/03/2020,329,1,4,889,2.7021,0.0043
04/03/2020,330,0,4,845,2.5606,0.0042
05/03/2020,389,3,7,1195,3.0720,0.0049
06/03/2020,354,2,9,1076,3.0395,0.0046
07/03/2020,262,7,16,657,2.5076,0.0049
08/03/2020,162,3,19,621,3.8333,0.0053
09/03/2020,354,6,25,978,2.7627,0.0044
10/03/2020,418,8,33,1040,2.4880,0.0038
11/03/2020,484,15,48,1169,2.4153,0.0040
12/03/2020,652,13,61,1391,2.1334,0.0036
13/03/2020,761,18,79,1444,1.8975,0.0033
14/03/2020,752,12,91,1198,1.5931,0.0030
15/03/2020,567,36,127,1068,1.8836,0.0033
16/03/2020,885,21,148,1429,1.6147,0.0029
17/03/2020,1123,27,175,1933,1.7213,0.0031
18/03/2020,1298,89,264,2378,1.8320,0.0035
19/03/2020,1290,108,372,2623,2.0333,0.0036
20/03/2020,1219,78,450,2717,2.2289,0.0041
21/03/2020,865,112,562,2132,2.4647,0.0047
22/03/2020,646,112,674,1948,3.0155,0.0053
23/03/2020,1250,186,860,3312,2.6496,0.0046
24/03/2020,1329,240,1100,3699,2.7833,0.0048
25/03/2020,1455,231,1331,3861,2.6536,0.0048
26/03/2020,1509,365,1696,4244,2.8125,0.0046
27/03/2020,1457,299,1995,4017,2.7570,0.0048
28/03/2020,910,319,2314,3103,3.4099,0.0062
29/03/2020,770,292,2606,2844,3.6935,0.0064
30/03/2020,1301,418,3024,3644,2.8009,0.0046
31/03/2020,1332,499,3523,3439,2.5818,0.0043
01/04/2020,1502,509,4032,4022,2.6778,0.0048
02/04/2020,1506,471,4503,4596,3.0518,0.0050
03/04/2020,1371,588,5091,3934,2.8694,0.0048
04/04/2020,1752,441,5532,6050,3.4532,0.0066
05/04/2020,687,357,5889,2538,3.6943,0.0066
06/04/2020,1169,605,6494,3629,3.1044,0.0051
07/04/2020,1307,597,7091,4226,3.2334,0.0055
08/04/2020,1336,541,7632,3668,2.7455,0.0047
09/04/2020,1434,412,8044,3911,2.7273,0.0042
10/04/2020,1225,554,8598,3994,3.2604,0.0055
11/04/2020,771,345,8943,2843,3.6874,0.0060
12/04/2020,592,310,9253,2212,3.7365,0.0069
13/04/2020,670,335,9588,2582,3.8537,0.0061
14/04/2020,1019,541,10129,2817,2.7645,0.0045
15/04/2020,1284,514,10643,2856,2.2243,0.0039
16/04/2020,1641,417,11060,4235,2.5807,0.0042
17/04/2020,1599,418,11478,3753,2.3471,0.0040
18/04/2020,1036,364,11842,2744,2.6486,0.0048
19/04/2020,759,227,12069,2065,2.7207,0.0049
20/04/2020,1389,444,12513,3019,2.1735,0.0036
21/04/2020,1493,387,12900,2985,1.9993,0.0034
22/04/2020,1591,336,13236,3044,1.9133,0.0035
23/04/2020,1662,311,13547,3542,2.1312,0.0036
24/04/2020,1460,305,13852,2862,1.9603,0.0034
25/04/2020,967,198,14050,2463,2.5471,0.0047
26/04/2020,723,152,14202,1948,2.6943,0.0049
27/04/2020,1336,295,14497,2817,2.1085,0.0036
28/04/2020,1348,313,14810,2711,2.0111,0.0033
29/04/2020,1393,243,15053,2869,2.0596,0.0034
30/04/2020,1545,191,15244,2827,1.8298,0.0031
01/05/2020,345,125,15369,1087,3.1507,0.0036
02/05/2020,856,118,15487,1880,2.1963,0.0044
03/05/2020,695,96,15583,1992,2.8662,0.0052
04/05/2020,1203,243,15826,2593,2.1554,0.0035
05/05/2020,1270,234,16060,2515,1.9803,0.0034
06/05/2020,1380,177,16237,2560,1.8551,0.0032
07/05/2020,1472,149,16386,3015,2.0482,0.0032
08/05/2020,891,111,16497,1938,2.1751,0.0037
09/05/2020,752,76,16573,1751,2.3285,0.0041
10/05/2020,580,69,16642,1741,3.0017,0.0050
11/05/2020,1107,178,16820,2265,2.0461,0.0036
12/05/2020,1091,183,17003,2142,1.9633,0.0033
13/05/2020,1232,98,17101,2441,1.9813,0.0033
14/05/2020,1341,123,17224,2552,1.9031,0.0029
15/05/2020,1195,118,17342,2807,2.3490,0.0040
16/05/2020,692,70,17412,1916,2.7688,0.0049
17/05/2020,552,54,17466,1519,2.7518,0.0048
18/05/2020,1176,123,17589,2023,1.7202,0.0029
19/05/2020,1198,125,17714,2126,1.7746,0.0032
20/05/2020,1424,98,17812,2332,1.6376,0.0031
21/05/2020,878,58,17870,1885,2.1469,0.0040
22/05/2020,1013,74,17944,2095,2.0681,0.0038
23/05/2020,758,43,17987,1741,2.2968,0.0043
24/05/2020,591,35,18022,1438,2.4332,0.0041
