date,article_count,injections_count,injections_cumulated,dict_hits,average_hits_per_article,average_hits_per_words,total_words,feel_positive,feel_negative,feel_joy,feel_fear,feel_sadness,feel_anger,feel_surprise,feel_disgust
02/01/2020,1,0,0,0,0.0000,0.0000,421,78,17,5,15,19,8,5,2
10/01/2020,1,0,0,0,0.0000,0.0000,723,139,20,7,30,24,7,9,3
26/01/2020,1,0,0,0,0.0000,0.0000,1110,193,42,3,39,27,13,13,18
28/01/2020,1,0,0,0,0.0000,0.0000,693,139,26,6,26,21,10,8,5
29/01/2020,10,0,0,1,0.1000,0.0001,7158,1117,281,55,213,192,114,171,90
31/01/2020,1,0,0,1,1.0000,0.0015,656,92,42,6,31,24,19,15,11
01/02/2020,2,0,0,6,3.0000,0.0127,474,62,20,6,6,6,4,2,8
02/02/2020,3,0,0,0,0.0000,0.0000,1645,264,139,12,93,37,28,18,68
03/02/2020,2,0,0,1,0.5000,0.0020,498,72,25,3,19,14,11,10,6
04/02/2020,1,0,0,0,0.0000,0.0000,200,41,3,6,4,4,1,4,1
05/02/2020,5,0,0,3,0.6000,0.0014,2191,379,111,17,80,61,38,34,28
06/02/2020,3,0,0,0,0.0000,0.0000,883,158,49,0,40,21,21,17,8
07/02/2020,2,0,0,0,0.0000,0.0000,1312,241,52,9,25,44,16,29,12
08/02/2020,1,0,0,0,0.0000,0.0000,402,73,21,2,12,17,7,14,5
09/02/2020,3,0,0,1,0.3333,0.0003,3513,587,140,20,108,110,43,54,35
10/02/2020,3,0,0,0,0.0000,0.0000,10093,1706,419,81,357,270,221,224,118
11/02/2020,26,0,0,9,0.3462,0.0005,17054,2934,695,93,523,393,255,256,148
12/02/2020,107,0,0,49,0.4579,0.0007,69590,11723,3053,445,2279,1756,1269,1094,709
13/02/2020,145,0,0,50,0.3448,0.0006,80847,14511,3315,413,2497,2231,1272,1175,715
14/02/2020,134,0,0,43,0.3209,0.0005,92373,16051,4049,579,3121,2631,1979,1599,906
15/02/2020,65,0,0,64,0.9846,0.0013,47568,7983,1869,260,1538,1193,897,758,498
16/02/2020,62,0,0,24,0.3871,0.0005,45092,7371,1817,217,1522,1177,847,669,526
17/02/2020,87,0,0,45,0.5172,0.0008,57097,9888,2609,253,1965,1649,1031,1055,547
18/02/2020,115,0,0,235,2.0435,0.0034,68791,12045,3351,360,2281,2100,1208,1108,670
19/02/2020,88,0,0,155,1.7614,0.0033,46739,8005,2116,255,1607,1382,801,689,403
20/02/2020,93,0,0,51,0.5484,0.0010,53481,9644,2296,357,1600,1453,834,969,503
21/02/2020,107,0,0,55,0.5140,0.0008,68384,11799,2746,342,2116,1691,1142,1127,609
22/02/2020,57,0,0,20,0.3509,0.0004,48002,8001,2035,209,1535,1245,798,742,464
23/02/2020,98,0,0,13,0.1327,0.0002,78964,13456,3167,439,2598,2028,1319,1402,751
24/02/2020,152,0,0,35,0.2303,0.0004,95526,15901,4224,467,3270,2643,1601,1771,890
25/02/2020,198,0,0,156,0.7879,0.0012,133816,21955,5777,688,4548,3675,2200,2296,1319
26/02/2020,253,0,0,73,0.2885,0.0004,166772,27227,7275,1031,5788,4552,2757,2866,1562
27/02/2020,302,0,0,81,0.2682,0.0004,214148,34864,10004,1341,7803,6182,3952,3912,2225
28/02/2020,281,0,0,86,0.3060,0.0005,163755,26832,7763,929,5990,4946,2978,3024,1772
29/02/2020,207,0,0,40,0.1932,0.0003,133006,21777,6125,846,5021,3704,2485,2443,1386
01/03/2020,118,0,0,29,0.2458,0.0004,66371,11080,3172,450,2581,2006,1254,1199,609
02/03/2020,285,0,0,107,0.3754,0.0005,200615,34681,9411,1250,7318,6058,3877,3676,2044
03/03/2020,329,0,0,88,0.2675,0.0004,208634,35259,9535,1445,7468,5973,3777,3776,2226
04/03/2020,330,0,0,155,0.4697,0.0008,203248,34476,9707,1251,6982,5630,3750,3688,2350
05/03/2020,389,0,0,180,0.4627,0.0007,246144,41330,11948,1620,8912,7378,4629,4666,2481
06/03/2020,354,0,0,176,0.4972,0.0007,235822,39254,11124,1234,8412,6687,4482,4338,2451
07/03/2020,262,0,0,77,0.2939,0.0006,134576,22556,6362,873,4994,3893,2417,2589,1318
08/03/2020,162,0,0,46,0.2840,0.0004,117437,19862,5297,682,4116,3328,2208,2256,1218
09/03/2020,354,0,0,96,0.2712,0.0004,222132,37861,10396,1241,8129,6625,4352,4337,2181
10/03/2020,418,0,0,80,0.1914,0.0003,277170,47948,13201,1655,10045,8406,5576,5444,2833
