date,article_count,cases_count,cases_cumulated,dict_hits,average_hits_per_article,average_hits_per_words
02/01/2020,1,0,0,0,0.0000,0.0000
10/01/2020,1,0,0,0,0.0000,0.0000
26/01/2020,1,0,0,26,26.0000,0.0234
28/01/2020,1,0,0,0,0.0000,0.0000
29/01/2020,10,0,0,137,13.7000,0.0191
31/01/2020,1,0,0,14,14.0000,0.0213
01/02/2020,2,0,0,32,16.0000,0.0675
02/02/2020,3,0,0,21,7.0000,0.0128
03/02/2020,2,0,0,15,7.5000,0.0301
04/02/2020,1,0,0,10,10.0000,0.0500
05/02/2020,5,0,0,49,9.8000,0.0224
06/02/2020,3,0,0,29,9.6667,0.0328
07/02/2020,2,0,0,29,14.5000,0.0221
08/02/2020,1,0,0,9,9.0000,0.0224
09/02/2020,3,0,0,23,7.6667,0.0065
10/02/2020,3,0,0,53,17.6667,0.0053
11/02/2020,26,0,0,551,21.1923,0.0323
12/02/2020,107,0,0,1533,14.3271,0.0220
13/02/2020,145,0,0,1901,13.1103,0.0235
14/02/2020,134,0,0,1774,13.2388,0.0192
15/02/2020,65,0,0,1328,20.4308,0.0279
16/02/2020,62,0,0,1183,19.0806,0.0262
17/02/2020,87,0,0,1410,16.2069,0.0247
18/02/2020,115,0,0,1556,13.5304,0.0226
19/02/2020,88,0,0,1255,14.2614,0.0269
20/02/2020,93,0,0,1451,15.6022,0.0271
21/02/2020,107,0,0,1469,13.7290,0.0215
22/02/2020,57,0,0,1299,22.7895,0.0271
23/02/2020,98,0,0,1708,17.4286,0.0216
24/02/2020,152,0,0,2492,16.3947,0.0261
25/02/2020,198,0,0,3424,17.2929,0.0256
26/02/2020,253,0,0,3930,15.5336,0.0236
27/02/2020,302,0,0,4455,14.7517,0.0208
28/02/2020,281,0,0,3906,13.9004,0.0239
29/02/2020,207,0,0,2865,13.8406,0.0215
01/03/2020,118,0,0,1559,13.2119,0.0235
02/03/2020,285,191,191,3952,13.8667,0.0197
03/03/2020,329,21,212,4304,13.0821,0.0206
04/03/2020,330,73,285,4544,13.7697,0.0224
05/03/2020,389,138,423,5074,13.0437,0.0206
06/03/2020,354,190,613,5037,14.2288,0.0214
07/03/2020,262,336,949,3118,11.9008,0.0232
08/03/2020,162,177,1126,2475,15.2778,0.0211
09/03/2020,354,286,1412,4480,12.6554,0.0202
10/03/2020,418,372,1784,5125,12.2608,0.0185
11/03/2020,484,497,2281,5594,11.5579,0.0192
12/03/2020,652,595,2876,7210,11.0583,0.0185
13/03/2020,761,785,3661,7692,10.1078,0.0178
14/03/2020,752,839,4500,5919,7.8710,0.0149
15/03/2020,567,923,5423,4963,8.7531,0.0155
16/03/2020,885,1210,6633,7745,8.7514,0.0157
17/03/2020,1123,1097,7730,10309,9.1799,0.0166
18/03/2020,1298,1404,9134,12202,9.4006,0.0178
19/03/2020,1290,1861,10995,12423,9.6302,0.0169
20/03/2020,1219,1617,12612,12209,10.0156,0.0182
21/03/2020,865,1847,14459,9124,10.5480,0.0199
22/03/2020,646,2230,16689,7333,11.3514,0.0200
23/03/2020,1250,3167,19856,12839,10.2712,0.0179
24/03/2020,1329,2446,22302,13653,10.2731,0.0178
25/03/2020,1455,2931,25233,14633,10.0570,0.0180
26/03/2020,1509,3922,29155,15407,10.2101,0.0167
27/03/2020,1457,3809,32964,14073,9.6589,0.0168
28/03/2020,910,4611,37575,9425,10.3571,0.0187
29/03/2020,770,2599,40174,8613,11.1857,0.0192
30/03/2020,1301,4376,44550,14114,10.8486,0.0179
31/03/2020,1332,7578,52128,13443,10.0923,0.0169
01/04/2020,1502,4861,56989,14491,9.6478,0.0172
02/04/2020,1506,2116,59105,15804,10.4940,0.0172
03/04/2020,1371,5233,64338,14338,10.4581,0.0176
04/04/2020,1752,4267,68605,16858,9.6221,0.0184
05/04/2020,687,1873,70478,7026,10.2271,0.0182
06/04/2020,1169,3912,74390,12476,10.6724,0.0175
07/04/2020,1307,3777,78167,14692,11.2410,0.0190
08/04/2020,1336,3881,82048,14192,10.6228,0.0180
09/04/2020,1434,4286,86334,15047,10.4930,0.0161
10/04/2020,1225,4342,90676,12483,10.1902,0.0172
11/04/2020,771,3114,93790,8327,10.8003,0.0177
12/04/2020,592,1613,95403,5936,10.0270,0.0186
13/04/2020,670,2673,98076,7751,11.5687,0.0183
14/04/2020,1019,5497,103573,10646,10.4475,0.0170
15/04/2020,1284,2633,106206,13580,10.5763,0.0187
16/04/2020,1641,2641,108847,16343,9.9592,0.0164
17/04/2020,1599,405,109252,14990,9.3746,0.0161
18/04/2020,1036,2569,111821,9725,9.3871,0.0169
19/04/2020,759,785,112606,7422,9.7787,0.0176
20/04/2020,1389,2051,114657,13155,9.4708,0.0156
21/04/2020,1493,2667,117324,12459,8.3449,0.0143
22/04/2020,1591,1827,119151,13794,8.6700,0.0157
23/04/2020,1662,1653,120804,14910,8.9711,0.0150
24/04/2020,1460,1773,122577,12694,8.6945,0.0150
25/04/2020,967,1537,124114,9190,9.5036,0.0175
26/04/2020,723,461,124575,6813,9.4232,0.0172
27/04/2020,1336,3764,128339,12027,9.0022,0.0152
28/04/2020,1348,1520,129859,12663,9.3939,0.0153
29/04/2020,1393,0,128442,12183,8.7459,0.0146
30/04/2020,1545,1139,129581,12985,8.4045,0.0141
01/05/2020,345,604,130185,4355,12.6232,0.0145
02/05/2020,856,794,130979,7062,8.2500,0.0164
03/05/2020,695,308,131287,6611,9.5122,0.0174
04/05/2020,1203,576,131863,11692,9.7190,0.0157
05/05/2020,1270,1104,132967,10861,8.5520,0.0145
06/05/2020,1380,4183,137150,11897,8.6210,0.0148
07/05/2020,1472,629,137779,13654,9.2758,0.0147
08/05/2020,891,642,138421,8068,9.0550,0.0152
09/05/2020,752,433,138854,6614,8.7952,0.0157
10/05/2020,580,209,139063,6005,10.3534,0.0174
11/05/2020,1107,456,139519,10323,9.3252,0.0164
12/05/2020,1091,708,140227,10301,9.4418,0.0157
13/05/2020,1232,507,140734,10641,8.6372,0.0146
14/05/2020,1341,622,141356,12136,9.0500,0.0139
15/05/2020,1195,563,141919,9898,8.2828,0.0140
16/05/2020,692,372,142291,6056,8.7514,0.0155
17/05/2020,552,120,142411,4988,9.0362,0.0159
18/05/2020,1176,492,142903,9907,8.4243,0.0142
19/05/2020,1198,524,143427,9677,8.0776,0.0143
20/05/2020,1424,418,143845,9901,6.9529,0.0130
21/05/2020,878,318,144163,6616,7.5353,0.0141
22/05/2020,1013,393,144556,7260,7.1668,0.0130
23/05/2020,758,250,144806,5743,7.5765,0.0141
24/05/2020,591,115,144921,4908,8.3046,0.0140
25/05/2020,937,358,145279,6966,7.4344,0.0126
26/05/2020,1047,276,145555,8001,7.6418,0.0133
27/05/2020,1136,191,145746,7785,6.8530,0.0120
28/05/2020,1231,3325,149071,8792,7.1422,0.0120
29/05/2020,974,597,149668,7040,7.2279,0.0120
30/05/2020,676,1828,151496,4686,6.9320,0.0135
31/05/2020,499,257,151753,3544,7.1022,0.0133
01/06/2020,710,338,152091,4887,6.8831,0.0119
02/06/2020,877,0,151325,5898,6.7252,0.0125
03/06/2020,921,352,151677,5541,6.0163,0.0112
04/06/2020,1149,767,152444,7366,6.4108,0.0109
05/06/2020,928,611,153055,6614,7.1272,0.0120
06/06/2020,579,579,153634,3725,6.4335,0.0123
07/06/2020,460,343,153977,3047,6.6239,0.0120
08/06/2020,900,211,154188,6063,6.7367,0.0121
09/06/2020,976,403,154591,6630,6.7930,0.0123
10/06/2020,990,545,155136,6189,6.2515,0.0119
11/06/2020,1057,425,155561,6738,6.3746,0.0107
12/06/2020,976,726,156287,5785,5.9273,0.0105
13/06/2020,638,526,156813,3690,5.7837,0.0119
14/06/2020,487,407,157220,3411,7.0041,0.0132
15/06/2020,889,152,157372,5700,6.4117,0.0117
16/06/2020,796,344,157716,5880,7.3869,0.0127
17/06/2020,1070,458,158174,6332,5.9178,0.0111
18/06/2020,1021,467,158641,6292,6.1626,0.0107
19/06/2020,847,811,159452,5141,6.0697,0.0113
20/06/2020,583,641,160093,3501,6.0051,0.0117
21/06/2020,441,284,160377,2873,6.5147,0.0126
22/06/2020,789,373,160750,4687,5.9404,0.0111
23/06/2020,858,517,161267,5297,6.1737,0.0114
24/06/2020,1059,81,161348,6508,6.1454,0.0110
25/06/2020,1119,0,161348,7046,6.2967,0.0110
26/06/2020,996,1588,162936,5724,5.7470,0.0108
27/06/2020,626,518,163454,3472,5.5463,0.0117
28/06/2020,395,526,163980,2460,6.2278,0.0138
29/06/2020,689,280,164260,4201,6.0972,0.0108
30/06/2020,771,541,164801,4695,6.0895,0.0113
01/07/2020,1021,918,165719,5633,5.5171,0.0100
02/07/2020,938,659,166378,5930,6.3220,0.0113
03/07/2020,801,582,166960,4726,5.9001,0.0105
04/07/2020,572,751,167711,2872,5.0210,0.0103
05/07/2020,382,448,168159,2286,5.9843,0.0122
06/07/2020,745,176,168335,4868,6.5342,0.0113
07/07/2020,788,475,168810,5274,6.6929,0.0120
08/07/2020,829,663,169473,5554,6.6996,0.0120
09/07/2020,869,621,170094,5541,6.3763,0.0112
10/07/2020,832,658,170752,5369,6.4531,0.0124
11/07/2020,507,752,171504,3089,6.0927,0.0123
12/07/2020,334,585,172089,2396,7.1737,0.0128
13/07/2020,685,288,172377,4891,7.1401,0.0133
14/07/2020,589,511,172888,3943,6.6944,0.0126
15/07/2020,762,416,173304,4585,6.0171,0.0118
16/07/2020,825,534,173838,5158,6.2521,0.0113
17/07/2020,735,836,174674,5265,7.1633,0.0128
18/07/2020,442,965,175639,2837,6.4186,0.0121
19/07/2020,333,765,176404,2342,7.0330,0.0132
20/07/2020,637,350,176754,4591,7.2072,0.0135
21/07/2020,760,584,177338,4912,6.4632,0.0131
22/07/2020,728,998,178336,4490,6.1676,0.0117
23/07/2020,797,1062,179398,5713,7.1681,0.0112
24/07/2020,660,1130,180528,3925,5.9470,0.0112
25/07/2020,468,1108,181636,3312,7.0769,0.0140
26/07/2020,331,929,182565,2473,7.4713,0.0138
27/07/2020,669,514,183079,4679,6.9940,0.0125
28/07/2020,710,725,183804,4702,6.6225,0.0123
29/07/2020,822,1392,185196,5014,6.0998,0.0125
30/07/2020,893,1377,186573,5707,6.3908,0.0107
31/07/2020,862,1346,187919,5433,6.3028,0.0116
01/08/2020,490,1628,189547,3426,6.9918,0.0127
02/08/2020,278,1192,190739,2283,8.2122,0.0139
03/08/2020,595,556,191295,4247,7.1378,0.0132
04/08/2020,689,1039,192334,4898,7.1089,0.0134
05/08/2020,690,1695,194029,4184,6.0638,0.0129
06/08/2020,629,1604,195633,4130,6.5660,0.0119
07/08/2020,561,2288,197921,3761,6.7041,0.0125
08/08/2020,337,2184,200105,2304,6.8368,0.0136
09/08/2020,238,1885,201990,1898,7.9748,0.0156
10/08/2020,498,785,202775,3380,6.7871,0.0131
11/08/2020,561,1397,204172,3598,6.4135,0.0120
12/08/2020,576,2524,206696,3741,6.4948,0.0123
13/08/2020,589,2669,209365,4151,7.0475,0.0138
14/08/2020,538,2846,212211,4343,8.0725,0.0162
15/08/2020,301,3310,215521,2250,7.4751,0.0158
16/08/2020,267,3015,218536,1855,6.9476,0.0135
17/08/2020,506,493,219029,3967,7.8399,0.0149
18/08/2020,572,2238,221267,4309,7.5332,0.0144
19/08/2020,535,3776,225043,4469,8.3533,0.0154
20/08/2020,562,4771,229814,4167,7.4146,0.0129
21/08/2020,596,4586,234400,4593,7.7064,0.0140
22/08/2020,354,3602,238002,2649,7.4831,0.0144
23/08/2020,257,4897,242899,1929,7.5058,0.0139
24/08/2020,608,1955,244854,4859,7.9918,0.0141
25/08/2020,629,3304,248158,4419,7.0254,0.0141
26/08/2020,669,5429,253587,4542,6.7892,0.0125
27/08/2020,664,6111,259698,4852,7.3072,0.0120
28/08/2020,675,7379,267077,4803,7.1156,0.0122
29/08/2020,396,5453,272530,2617,6.6086,0.0121
30/08/2020,242,5413,277943,2148,8.8760,0.0140
31/08/2020,544,3082,281025,3929,7.2224,0.0127
01/09/2020,674,4982,286007,4616,6.8487,0.0122
02/09/2020,632,7017,293024,4196,6.6392,0.0118
03/09/2020,785,7157,300181,4471,5.6955,0.0097
04/09/2020,688,8975,309156,3975,5.7776,0.0102
05/09/2020,437,8550,317706,2488,5.6934,0.0113
06/09/2020,354,7071,324777,1927,5.4435,0.0115
07/09/2020,556,4203,328980,3680,6.6187,0.0108
08/09/2020,605,6544,335524,3799,6.2793,0.0119
09/09/2020,885,8577,344101,5331,6.0237,0.0119
10/09/2020,1562,9843,353944,11329,7.2529,0.0117
11/09/2020,722,9406,363350,4630,6.4127,0.0126
12/09/2020,562,10561,373911,3555,6.3256,0.0137
13/09/2020,287,7183,381094,1682,5.8606,0.0119
14/09/2020,705,6158,387252,3929,5.5730,0.0100
15/09/2020,818,7852,395104,4652,5.6870,0.0114
16/09/2020,842,9784,404888,4739,5.6283,0.0110
17/09/2020,863,10593,415481,5143,5.9594,0.0099
18/09/2020,756,13215,428696,5482,7.2513,0.0135
19/09/2020,489,13498,442194,2678,5.4765,0.0120
20/09/2020,282,10569,452763,1523,5.4007,0.0117
21/09/2020,556,5298,458061,3543,6.3723,0.0118
22/09/2020,735,10008,468069,4455,6.0612,0.0114
23/09/2020,746,13072,481141,4791,6.4223,0.0119
24/09/2020,898,16096,497237,5400,6.0134,0.0115
25/09/2020,869,15797,513034,5890,6.7779,0.0118
26/09/2020,526,14412,527446,3242,6.1635,0.0126
27/09/2020,352,11123,538569,1785,5.0710,0.0108
28/09/2020,508,4070,542639,3466,6.8228,0.0117
29/09/2020,743,8051,550690,4152,5.5882,0.0101
30/09/2020,728,12845,563535,3975,5.4602,0.0100
01/10/2020,665,13970,577505,3972,5.9729,0.0096
02/10/2020,762,12148,589653,5328,6.9921,0.0125
03/10/2020,423,16972,606625,3049,7.2080,0.0134
04/10/2020,277,12565,619190,2130,7.6895,0.0135
05/10/2020,662,5084,624274,4337,6.5514,0.0118
06/10/2020,777,10489,634763,4745,6.1068,0.0120
07/10/2020,812,18746,653509,5028,6.1921,0.0123
08/10/2020,771,18129,671638,5260,6.8223,0.0111
09/10/2020,712,20339,691977,4197,5.8947,0.0113
10/10/2020,564,26896,718873,3691,6.5443,0.0129
11/10/2020,307,16101,734974,2058,6.7036,0.0116
12/10/2020,618,8505,743479,4352,7.0421,0.0131
13/10/2020,890,12993,756472,6266,7.0404,0.0131
14/10/2020,941,22591,779063,6946,7.3815,0.0141
15/10/2020,946,30621,809684,6980,7.3784,0.0126
16/10/2020,869,25086,834770,6542,7.5282,0.0133
17/10/2020,525,32427,867197,3176,6.0495,0.0130
18/10/2020,331,29837,897034,2009,6.0695,0.0123
19/10/2020,599,13243,910277,3943,6.5826,0.0123
20/10/2020,739,20468,930745,4757,6.4371,0.0113
21/10/2020,723,26676,957421,4569,6.3195,0.0124
22/10/2020,846,41622,999043,5925,7.0035,0.0130
23/10/2020,881,42032,1041075,6869,7.7968,0.0144
24/10/2020,590,45422,1086497,4181,7.0864,0.0153
25/10/2020,426,52010,1138507,2900,6.8075,0.0156
26/10/2020,634,26771,1165278,4298,6.7792,0.0126
27/10/2020,829,33417,1198695,5938,7.1628,0.0139
28/10/2020,964,36437,1235132,7197,7.4658,0.0140
29/10/2020,1013,47637,1282769,7576,7.4788,0.0128
30/10/2020,859,49215,1331984,6305,7.3399,0.0128
31/10/2020,586,35641,1367625,3955,6.7491,0.0147
01/11/2020,350,46290,1413915,2497,7.1343,0.0141
02/11/2020,677,52518,1466433,4715,6.9645,0.0128
03/11/2020,723,36330,1502763,4885,6.7566,0.0124
04/11/2020,791,40558,1543321,5724,7.2364,0.0142
05/11/2020,893,58046,1601367,6546,7.3303,0.0134
06/11/2020,858,60486,1661853,6375,7.4301,0.0135
07/11/2020,469,86852,1748705,3855,8.2196,0.0148
08/11/2020,396,38619,1787324,2702,6.8232,0.0139
09/11/2020,857,20155,1807479,6004,7.0058,0.0132
10/11/2020,949,22180,1829659,6388,6.7313,0.0128
11/11/2020,717,35879,1865538,4557,6.3556,0.0138
12/11/2020,889,33172,1898710,6274,7.0574,0.0123
13/11/2020,889,23794,1922504,6229,7.0067,0.0128
14/11/2020,560,32095,1954599,4020,7.1786,0.0141
15/11/2020,400,27228,1981827,2573,6.4325,0.0136
16/11/2020,783,9406,1991233,5354,6.8378,0.0124
17/11/2020,890,45522,2036755,6296,7.0742,0.0127
18/11/2020,903,28383,2065138,6059,6.7099,0.0131
19/11/2020,899,21150,2086288,6008,6.6830,0.0122
20/11/2020,894,22882,2109170,6667,7.4575,0.0135
21/11/2020,734,17881,2127051,4715,6.4237,0.0143
22/11/2020,391,13157,2140208,2681,6.8568,0.0142
23/11/2020,752,4452,2144660,5430,7.2207,0.0128
24/11/2020,805,9155,2153815,5592,6.9466,0.0127
25/11/2020,842,16282,2170097,5314,6.3112,0.0123
26/11/2020,751,13563,2183660,4691,6.2463,0.0101
27/11/2020,623,12459,2196119,3984,6.3949,0.0112
28/11/2020,447,12580,2208699,2789,6.2394,0.0133
29/11/2020,315,9784,2218483,2013,6.3905,0.0111
30/11/2020,630,4005,2222488,3572,5.6698,0.0100
01/12/2020,776,8083,2230571,4768,6.1443,0.0112
02/12/2020,796,14064,2244635,5012,6.2965,0.0108
03/12/2020,873,12696,2257331,5474,6.2703,0.0104
04/12/2020,678,11221,2268552,3905,5.7596,0.0107
05/12/2020,489,12923,2281475,2748,5.6196,0.0109
06/12/2020,289,11022,2292497,2019,6.9862,0.0114
07/12/2020,568,3411,2295908,3515,6.1884,0.0112
